0 6
Day APCP TMP SPFH UGRD DSWRF
715.166666666667 0 2.67000000000002 0.801448858307344 71712 0
715.208333333333 0 2.69 0.816470203043263 90720 0
715.25 0 2.70000000000005 0.831993160315049 108864 0
715.291666666667 0 2.72000000000003 0.84698613135142 127008 0
715.333333333333 0 2.79000000000002 0.839141381696574 143424 0
715.375 0.0029184 2.86000000000001 0.831290864837453 158976 0
715.416666666667 0.0002112 2.92000000000002 0.824136688604709 174528 0
715.458333333333 0.0029184 2.90000000000003 0.82368766769498 209088 0
715.5 0.001104 2.88 0.823176885803808 242784 0
715.541666666667 0.0003456 2.86000000000001 0.822667408348623 277344 0
715.583333333333 0.0027072 2.46000000000004 0.855956896519732 278208 0
715.625 0.000432 2.06 0.89052029574991 279936 0
715.666666666667 0 1.67000000000002 0.92576615739553 280800 0
715.708333333333 0.0058368 2.38 0.922794912913417 266976 2215987.2
715.75 0.005712 3.09000000000003 0.918164323493462 254016 6011280
715.791666666667 0.0070272 3.81 0.911531333036733 241056 9573552
715.833333333333 0.0098496 4.21000000000004 0.91499774451405 240192 11799734.4
715.875 0.0059712 4.60000000000002 0.918289945918436 239328 12431923.2
715.916666666667 0.0004224 5 0.920065616970758 239328 12155443.2
715.958333333333 0.006528 5.06 0.92543266179574 241056 10058342.4
716 0.005712 5.12 0.930789568565771 243648 7158758.4
716.041666666667 0.0095616 5.18000000000001 0.936100997099989 245376 5748364.8
716.083333333333 0.0052416 4.93000000000001 0.946796980677246 201312 0
716.125 0.0104064 4.68000000000001 0.957644689012889 157248 0
716.166666666667 0.0271104 4.43000000000001 0.968571246991807 113184 0
716.208333333333 0.0543936 4.71000000000004 0.970183127907457 19008 0
716.25 0.0177792 4.99000000000001 0.971452491936388 75168 0
716.291666666667 0.0205824 5.28000000000003 0.971759736620966 168480 0
716.333333333333 0.0166464 5.63 0.973365278261551 194400 0
716.375 0.0137472 5.98000000000002 0.974435701635189 220320 0
716.416666666667 0.0837216 6.33000000000004 0.974968076673487 245376 0
716.458333333333 0.072048 5.91000000000003 0.979299197214803 261792 0
716.5 0.099168 5.5 0.982461565475194 278208 0
716.541666666667 0.0432288 5.09000000000003 0.985195820950295 294624 0
716.583333333333 0.0061824 4.37 0.978771163850841 227232 0
716.625 0.004368 3.66000000000003 0.968663881477642 160704 0
716.666666666667 0.0024096 2.94 0.956007495157405 93312 0
716.708333333333 0.000288 3.49000000000001 0.935274700777491 94176 3558297.6
716.75 0.0023616 4.04000000000002 0.914936700828493 94176 9790588.8
716.791666666667 0.0231168 4.59000000000003 0.894991415004893 95040 29357510.4
716.833333333333 0 5.61000000000001 0.859035620106721 126144 36236851.2
716.875 0 6.64000000000004 0.823772210577197 157248 38213337.6
716.916666666667 0 7.66000000000003 0.790288292321283 188352 38896588.8
